Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
35.0, 19.534528732299805, -14.17264461517334, -0.0, 59.997222900390625, 60.00594711303711, 60.03969955444336, -0.0009016678668558598, -0.0016201072139665484, -0.00035030063008889556, 35.05619812011719
35.25, 17.00141143798828, -12.24661636352539, 0.0, 59.998817443847656, 60.00486755371094, 60.00920104980469, 0.00011445661948528141, -0.000523867376614362, 0.0005649139056913555, 35.3047981262207
35.5, 15.8040771484375, -11.177547454833984, 0.0, 60.00043487548828, 60.003684997558594, 60.00920104980469, 0.00022568278654944152, -0.00022099049238022417, 0.0005251247202977538, 35.55659866333008
35.75, 4.22159481048584, 0.0955965593457222, 0.0, 60.00510025024414, 59.99964141845703, 60.00920104980469, 0.010155989788472652, 0.006905263755470514, 0.011572749353945255, 35.80339813232422
36.0, 10.607765197753906, -5.820663928985596, -0.0, 60.007171630859375, 59.997581481933594, 60.00920104980469, 0.004751128144562244, 0.004807792138308287, 0.004425314255058765, 36.05500030517578
36.25, 14.323543548583984, -9.178861618041992, -0.0, 60.005680084228516, 59.995849609375, 60.007633209228516, 0.0017814489547163248, 0.002526783151552081, 0.0012247804552316666, 36.30580139160156
36.5, 16.21942901611328, -11.00873851776123, 0.0, 60.004459381103516, 59.99691390991211, 60.007633209228516, 0.001111263525672257, 0.0018413354409858584, 0.0006541930488310754, 36.55379867553711
36.75, 17.653425216674805, -12.025673866271973, -0.0, 60.00313186645508, 59.9980583190918, 60.007633209228516, 0.0007137107895687222, 0.0012029468780383468, 0.00041981643880717456, 36.80540084838867
37.0, 32.790626525878906, -23.489364624023438, -0.0, 59.997257232666016, 60.002559661865234, 60.20198059082031, -0.004866394679993391, -0.0010325381299480796, -0.006380211096256971, 37.055599212646484
37.25, 24.143733978271484, -17.61966896057129, -0.0, 59.99507522583008, 60.00443649291992, 60.007633209228516, -0.003608838189393282, -0.003555724397301674, -0.003304466139525175, 37.30459976196289
